2019,"3251-clwa-1400","Room",29,200
2021,"3252-clwa-2006","Room",29,448
2022,"3252-clwa-2100","Room",29,448
2023,"3252-clwa-2301","Room",29,448
2024,"3252-clwa-2421","Room",29,448
2025,"3253-clwa-3008","Room",29,201
2026,"3253-clwa-3100","Room",29,201
2027,"3254-clwa-4006","Room",29,202
2028,"3254-clwa-4100","Room",29,202
2029,"4011-clwa-hallway-1001a","Room",30,203
2030,"4011-clwa-1028","Room",30,203
2031,"4011-clwa-1123","Room",30,203
2032,"4011-clwa-1134","Room",30,203
2033,"4012-clwa-hallway-2006","Room",30,449
2034,"4012-clwa-2046","Room",30,449
2035,"4012-clwa-2141","Room",30,449
2036,"4012-clwa-2169","Room",30,449
2037,"4013-clwa-hallway-3026","Room",30,450
2038,"4013-clwa-3122","Room",30,450
2039,"4013-clwa-3171a","Room",30,450
2040,"4014-clwa-hallway-4024","Room",30,451
2041,"4014-clwa-4129a","Room",30,451
2042,"4014-clwa-4171","Room",30,451
2043,"4015-clwa-hallway-5024","Room",30,452
2044,"4015-clwa-hallway-5042","Room",30,452
2045,"4021-clwa-1120","Room",130,453
2046,"4021-clwa-1132","Room",130,453
2047,"4021-clwa-hwy-1214","Room",130,453
2048,"4021-clwa-1422","Room",130,453
2049,"4021-clwa-1432","Room",130,453
2050,"4022-clwa-2120","Room",130,454
2051,"4022-clwa-2138","Room",130,454
2052,"4022-clwa-hwy-2214","Room",130,454
2053,"4022-clwa-hwy-2313","Room",130,454
2054,"4022-clwa-hwy-2361","Room",130,454
2055,"4022-clwa-hwy-2432","Room",130,454
2056,"4023-clwa-3112","Room",130,455
2057,"4023-clwa-3120","Room",130,455
2058,"4023-clwa-hwy-3212","Room",130,455
2059,"4023-clwa-3300","Room",130,455
2060,"4023-clwa-3361","Room",130,455
2061,"4023-clwa-3400","Room",130,455
2063,"4024-clwa-4114","Room",130,456
2064,"4024-clwa-4122","Room",130,456
2065,"4024-clwa-hwy-4212","Room",130,456
2066,"4024-clwa-4300","Room",130,456
2068,"4024-clwa-4400","Room",130,456
2070,"4025-clwa-5126","Room",130,457
2071,"4025-clwa-hwy-5217","Room",130,457
25,"Information & Computer Science","Building",NULL,NULL
29,"Calif. Inst. for Telecom. & Info. Tech.","Building",NULL,NULL
30,"Frederick Reines Hall","Building",NULL,NULL
66,"Rowland Hall","Building",NULL,NULL
95,"Information & Computer Science 2","Building",NULL,NULL
128,"Donald Bren Hall","Building",NULL,NULL
130,"Natural Sciences II","Building",NULL,NULL
195,"1","Floor",25,NULL
196,"2","Floor",25,NULL
200,"1","Floor",29,NULL
201,"3","Floor",29,NULL
202,"4","Floor",29,NULL
203,"1","Floor",30,NULL
324,"3","Floor",25,NULL
325,"4","Floor",25,NULL
334,"1","Floor",95,NULL
335,"2","Floor",95,NULL
343,"1","Floor",66,NULL
344,"2","Floor",66,NULL
345,"3","Floor",66,NULL
346,"4","Floor",66,NULL
347,"5","Floor",66,NULL
438,"1","Floor",128,NULL
439,"2","Floor",128,NULL
440,"3","Floor",128,NULL
441,"4","Floor",128,NULL
442,"5","Floor",128,NULL
443,"6","Floor",128,NULL
448,"2","Floor",29,NULL
449,"2","Floor",30,NULL
450,"3","Floor",30,NULL
451,"4","Floor",30,NULL
452,"5","Floor",30,NULL
453,"1","Floor",130,NULL
454,"2","Floor",130,NULL
455,"3","Floor",130,NULL
456,"4","Floor",130,NULL
457,"5","Floor",130,NULL
